Date,AAPL,GLD,MSFT,SPY
2019-07-01,48.62883377075195,,129.3974151611328,
2019-07-02,48.91353225708008,,130.25575256347656,
2019-07-03,49.31888961791992,,131.09500122070312,
2019-07-05,49.275447845458984,,130.7135467529297,
2019-07-08,48.25969314575195,,130.61814880371094,
2019-07-09,48.554046630859375,,130.1413116455078,
2019-07-10,49.034175872802734,,131.46694946289062,
2019-07-11,48.677093505859375,,131.99148559570312,
2019-07-12,49.051063537597656,,132.46835327148438,
2019-07-15,49.511905670166016,,132.46835327148438,
2019-07-16,49.34059524536133,,130.73260498046875,
2019-07-17,49.063133239746094,,129.9601287841797,
2019-07-18,49.620479583740234,136.47999572753906,130.10316467285156,
2019-07-19,48.87975311279297,134.47000122070312,130.29391479492188,
2019-07-22,49.996864318847656,134.4499969482422,132.02008056640625,
2019-07-23,50.387725830078125,133.69000244140625,132.84027099609375,
2019-07-24,50.34670639038086,134.3699951171875,134.2040557861328,
2019-07-25,49.948604583740234,133.4199981689453,133.69862365722656,
2019-07-26,50.122318267822266,133.63999938964844,134.79534912109375,
2019-07-29,50.59038162231445,134.52999877929688,134.4996795654297,
2019-07-30,50.37324905395508,134.97999572753906,133.85118103027344,
2019-07-31,51.401084899902344,133.2100067138672,129.9601287841797,
2019-08-01,50.2888069152832,136.41000366210938,131.6671905517578,
2019-08-02,49.22478103637695,135.88999938964844,130.5609588623047,
2019-08-05,46.64796447753906,137.7899932861328,126.0881118774414,
2019-08-06,47.531036376953125,138.91000366210938,128.45327758789062,
2019-08-07,48.02322769165039,141.02000427246094,129.01597595214844,
2019-08-08,49.082427978515625,141.72999572753906,132.4587860107422,
2019-08-09,48.67797088623047,141.25999450683594,131.33343505859375,
2019-08-12,48.55445098876953,142.6300048828125,129.50233459472656,
2019-08-13,50.610652923583984,141.77999877929688,132.1822052001953,
2019-08-14,49.104225158691406,142.75,128.20162963867188,
2019-08-15,48.859619140625,143.6999969482422,127.91455841064453,
2019-08-16,50.0124397277832,142.77999877929688,130.25892639160156,
2019-08-19,50.944881439208984,141.11000061035156,132.44061279296875,
2019-08-20,50.94730758666992,142.2100067138672,131.34017944335938,
2019-08-21,,141.75999450683594,132.80416870117188,
2019-08-22,,141.39999389648438,131.83778381347656,
2019-08-23,,144.1699981689453,127.63710021972656,
2019-08-26,,144.19000244140625,129.60829162597656,
2019-08-27,,145.57000732421875,129.8857421875,
2019-08-28,,145.16000366210938,129.71348571777344,
2019-08-29,,144.1199951171875,132.1630859375,
2019-08-30,,143.75,131.91429138183594,
2019-09-03,,145.75,130.17279052734375,
2019-09-04,,146.66000366210938,131.6942138671875,
2019-09-05,,143.13999938964844,134.0098419189453,
2019-09-06,,141.9199981689453,133.10079956054688,
2019-09-09,,141.38999938964844,131.58897399902344,
2019-09-10,,140.17999267578125,130.2111053466797,
2019-09-11,,141.02999877929688,130.2493133544922,
2019-09-12,54.0303955078125,141.32000732421875,131.58897399902344,
2019-09-13,52.979286193847656,140.14999389648438,131.39759826660156,
2019-09-16,53.2578010559082,141.32000732421875,130.45028686523438,
2019-09-17,53.45155334472656,141.60000610351562,131.46453857421875,
2019-09-18,53.9528923034668,140.7100067138672,132.5458526611328,
2019-09-19,53.5145263671875,141.27999877929688,134.98583984375,
2019-09-20,52.73225021362305,142.9499969482422,133.42617797851562,
2019-09-23,52.97201919555664,143.75,133.1391143798828,
2019-09-24,52.72013854980469,144.50999450683594,131.45501708984375,
2019-09-25,53.53147888183594,141.8300018310547,133.34957885742188,
2019-09-26,53.25537872314453,141.7899932861328,133.52183532714844,
2019-09-27,52.99624252319336,141.05999755859375,131.78990173339844,
2019-09-30,54.24351501464844,138.8699951171875,133.03382873535156,
2019-10-01,54.393672943115234,139.6300048828125,131.1584014892578,
2019-10-02,53.0301513671875,141.25999450683594,128.8427276611328,
2019-10-03,53.48062515258789,141.89999389648438,130.4024658203125,
2019-10-04,54.97978210449219,141.89999389648438,132.1630859375,
2019-10-07,54.991886138916016,140.69000244140625,131.20620727539062,
2019-10-08,54.34767150878906,141.9199981689453,129.81874084472656,
2019-10-09,54.984622955322266,142.0500030517578,132.2779541015625,
2019-10-10,55.725730895996094,140.80999755859375,133.10079956054688,
2019-10-11,57.207950592041016,140.02999877929688,133.65582275390625,
2019-10-14,57.125587463378906,140.58999633789062,133.53140258789062,
2019-10-15,56.992393493652344,139.61000061035156,135.46429443359375,
2019-10-16,56.76231384277344,140.41000366210938,134.3542938232422,
2019-10-17,56.98270034790039,140.61000061035156,133.6653594970703,
2019-10-18,57.256378173828125,140.4600067138672,131.4837188720703,
2019-10-21,58.249359130859375,139.7899932861328,132.459716796875,
2019-10-22,58.11614990234375,140.1999969482422,130.48854064941406,
2019-10-23,58.89600372314453,140.52999877929688,131.32106018066406,
2019-10-24,58.99288558959961,141.52999877929688,133.9046173095703,
2019-10-25,59.71946334838867,141.86000061035156,134.66050720214844,
2019-10-28,60.31767654418945,140.63999938964844,137.9713134765625,
2019-10-29,58.92264938354492,140.25,136.669921875,
2019-10-30,58.915382385253906,141.02000427246094,138.3731689453125,282.4040222167969
2019-10-31,60.247440338134766,142.42999267578125,137.18663024902344,281.65191650390625
2019-11-01,61.95730972290039,142.55999755859375,137.5215606689453,284.2611389160156
2019-11-04,62.36418914794922,142.14999389648438,138.3157958984375,285.4031982421875
2019-11-05,62.27457809448242,139.85000610351562,138.2296600341797,285.08746337890625
2019-11-06,62.30122375488281,140.4499969482422,137.84690856933594,285.1524963378906
2019-11-07,63.020240783691406,138.27000427246094,138.0382843017578,286.1553039550781
